date,group,exp_id,id,sex,ageclass,context_experiment,behaviour,behaviour2,behaviour3,time_calibrated,position,flee_direction,flee_duration
12/02/2023,TCP,EXP6,ID6,m,subadult,eagle,f,Start fleeing,Flee up,0.991,1,up,0.998
12/02/2023,TCP,EXP6,ID6,m,subadult,eagle,e,End fleeing,NA,1.989,2,up,0.998
12/02/2023,TCP,EXP6,ID6,m,subadult,eagle,d,Start moving down,Move down,6.993,2,NA,0.998
12/02/2023,TCP,EXP6,ID6,m,subadult,eagle,n,End moving down,NA,8.994,1,NA,0.998
12/02/2023,TCP,EXP6,ID6,m,subadult,eagle,t,Tail raises,Tail raises,9,1,NA,0.998
17/02/2023,TCP,EXP7,ID7,f,adult,leopard,f,Start fleeing,Flee up,0.988,1,up,16.002
17/02/2023,TCP,EXP7,ID7,f,adult,leopard,e,End fleeing,NA,16.99,3,up,16.002
23/02/2023,TCP,EXP8,ID8,m,subadult,eagle,t,Tail raises,Tail raises,3.007,1,NA,NA
23/02/2023,TCP,EXP8,ID8,m,subadult,eagle,b,Bipedal,Bipedal,17.023,1,NA,NA
23/02/2023,TCP,EXP8,ID8,m,subadult,eagle,t,Tail raises,Tail raises,17.034,1,NA,NA
07/03/2023,TCP,EXP9,ID9,f,adult,leopard,f,Start fleeing,Flee up,2.998,2,up,3.003
07/03/2023,TCP,EXP9,ID9,f,adult,leopard,e,End fleeing,NA,6.001,3,up,3.003
